accept	continue	fly	object	see
accomplish	contribute	fold	observe	seek
accuse	control	follow	obtain	seem
achieve	convert	force	occupy	select
act	convince	forget	occur	sell
add	cook	forgive	offend	send
adjust	cooperate	form	offer	seperate
admit	coordinate	fulfill	omit	serve
affect	cope	gain	open	set
afford	copy	get	operate	settle
agree	correct	give	order	shake
aim	correspond	go	organize	share
allow	cost	greet	owe	shine
analyze	count	grow	own	shoot
announce	cover	guess	participate	shout
answer	create	guide	pass	show
apologize	criticize	handle	pay	shut
appear	cross	happen	perform	sign
apply	cry	hate	persist	simplify
appreciate	cure	have	persuade	sing
approve	cut	hear	pick	sit
argue	damage	help	place	ski
arrange	dance	hesitate	plan	sleep
arrest	deal	hide	play	smell
arrive	deceive	hire	please	smile
ask	decide	hit	point	solve
assist	declare	hold	praise	sort
attach	decrease	hope	pray	sound
attack	defend	host	prefer	speak
attend	define	hurry	prepare	spend
attract	delete	hurt	present	spread
avoid	deliver	identify	press	stand
bargain	demand	ignore	prevent	stare
be	deny	imagine	print	start
bear	depend	impress	proceed	state
beat	describe	improve	process	stay
become	design	include	produce	steal
beg	desire	increase	prohibit	stick
begin	destroy	indicate	promise	stop
behave	determine	influence	pronounce	struggle
believe	develop	inform	protect	study
belong	die	injure	protest	subscribe
benefit	differ	insert	prove	succeed
bet	direct	insist	provide	suffer
bite	disagree	insure	publish	suggest
blame	disappear	intend	pull	suit
blow	disappoint	interact	punish	supply
boil	discourage	interfere	push	support
borrow	discover	introduce	put	suppose
break	discuss	invest	quarrel	survive
breath	display	invite	quit	suspect
bring	distinguish	involve	rain	take
brush	distract	join	raise	talk
build	distribute	joke	reach	taste
burn	disturb	jump	react	teach
buy	dive	keep	read	tear
calculate	divide	kick	realize	tell
call	do	kill	recieve	tend
cancel	draw	knock	recognize	terminate
care	dream	know	recommend	test
carry	dress	last	record	thank
catch	drink	laugh	recover	think
cause	drive	launch	reduce	throw
change	drop	lay	refer	tidy
charge	eat	lead	reflect	tolerate
chat	educate	learn	refuse	touch
cheat	elect	leave	reject	trade
check	enable	lend	release	train
choose	encourage	let	rely	transfer
claim	enhance	lie	remain	transform
clarify	enjoy	like	remember	translate
classify	enter	limit	remind	travel
clean	envy	link	remove	treat
clear	erase	listen	rent	trust
climb	escape	live	repair	try
close	establish	load	repeat	turn
collect	estimate	lock	replace	understand
combine	evaluate	lose	reply	update
come	exaggerate	love	report	upset
comment	examine	maintain	represent	use
commit	excuse	make	request	view
communicate	exist	manage	require	violate
compare	expect	mark	resemble	visit
compete	experience	matter	resign	vote
complain	expire	mean	respect	wait
complete	explain	measure	respond	walk
compose	express	meet	rest	want
concentrate	extend	memorize	result	warn
concern	face	mend	retire	wash
conduct	fail	mention	return	watch
confess	fall	mind	reveal	wear
confirm	feed	miss	revise	win
confuse	feel	mistake	ride	wish
congratulate	fight	mix	ring	wonder
connect	fill	modify	rise	work
consider	find	move	run	worry
consist	finish	murder	sacrifice	write
consult	fit	need	save
contact	fix	notice	say
contain	flow	obey	search
